Attribute1	Attribute2	Attribute3	Attribute4	Attribute5	Attribute6	Attribute7	Attribute8	Attribute9	Attribute10	Attribute11	Attribute12	Class
M	47	Metropolis	0.5682176181820967	98.78657706475248	29.435483844693902	No	Yes	NA	Yes	1	1	-
M	54	Сity	0.5202651538978222	68.7262467900714	35.349788738281205	higher	Yes	NA	Yes	1	1	+
M	36	Village	0.57005895566786	34.153521564864796	11.460756800112158	Secondary	Yes	NA	Yes	4	1	-
F	45	Village	0.15361994911539922	93.9872704937844	42.445560039259206	No	No	NA	Yes	0	1	-
M	53	Metropolis	0.9261000509091668	86.93675171884324	25.922389140087578	Higher	Yes	NA	Yes	1	1	+-
F	44	Metropolis	0.710442921253598	98.65736070220079	15.669804035252634	Higher	Yes	NA	Yes	3	1	+
M	31	Village	0.6833802759385237	31.62262801616084	5.811286856671229	No	Yes	NA	Yes	5	1	+
M	61	Metropolis	0.5104316922200477	66.88827192753473	24.723568674285126	Higher	Yes	NA	Yes	2	1	-
M	NA	Metropolis	0.6941838409008182	33.823973946708726	4.139869665200585	Secondary	No	NA	Yes	0	1	+-
f	20	Сity	0.45286642850201597	NA	12.045778362411392	Secondary	No	NA	Yes	2	1	+
M	58	Metropolis	0.37084956074246933	61.68487401288287	9.316610855504132	Secondary	Yes	NA	Yes	4	1	-
M	48	Сity	0.2760845551645602	49.19267400457832	18.614265823284644	Secondary	Yes	NA	Yes	1	1	-
M	43	Сity	0.44767065755819657	74.44881323449715	7.4276437399703	Higher	Yes	NA	Yes	1	1	+
M	45	Сity	0.019042240718886383	99.78532070775698	8.478082277765303	No	No	NA	Yes	0	1	+
F	21	Сity	0.9578677230972374	58.3225735602565	28.055702250422904	No	Yes	NA	Yes	4	1	-
M	29	Metropolis	0.6296853640295791	18.346394588676795	7.011658387567083	Higher	No	NA	Yes	1	1	+
M	37	Сity	0.8503754956422528	99.42178691756146	-1.561171774328507	No	No	NA	Yes	2	1	+-
M	61	Metropolis	0.7609143860032194	82.32935658176467	18.668552960253503	Secondary	Yes	NA	Yes	0	1	-
F	34	Metropolis	0.6822196494921873	77.42312608390958	28.010446553464746	No	Yes	NA	Yes	4	1	+
M	34	Metropolis	0.6976339557725115	87.90225367601828	20.031719090334878	Secondary	Yes	NA	Yes	1	1	-
F	69	Сity	0.507860013402101	93.65655889649324	24.479884990608337	higher	Yes	NA	Yes	3	1	-
F	57	Village	0.4493861988930048	97.79388460870221	1.121472480361927	Higher	Yes	NA	Yes	2	1	-
M	20	Сity	0.9148726224575602	49.58176093350464	13.803450083594317	No	Yes	NA	Yes	5	1	+-
M	70	Metropolis	0.7797986485356692	74.66799027197158	19.183593472734614	Higher	Yes	NA	Yes	1	1	-
M	55	Village	0.9401190173032091	74.20368803439317	18.038678850327443	Secondary	Yes	NA	Yes	5	1	+
F	55	Metropolis	0.10537324460545794	10.943338829934572	7.80511103507876	No	No	NA	Yes	4	1	+
F	58	Village	0.7652352459406649	61.8997231815575	27.813061963201335	Secondary	Yes	NA	Yes	1	1	+-
M	38	Metropolis	0.09239171637494303	71.91605816471775	8.928190944456258	Higher	No	NA	Yes	3	1	+
F	54	Village	0.5453448226903491	12.140568053771823	17.95526196837772	Secondary	Yes	NA	Yes	1	1	+
M	57	Village	0.014553910265329595	89.10755098917289	34.578412501314205	No	No	NA	Yes	2	1	-
M	63	Village	0.9796346407740896	29.493921656055658	23.097770030608036	No	Yes	NA	Yes	0	1	+-
F	70	Metropolis	0.7720094327026521	85.28471466397941	19.190435578606948	Higher	No	NA	Yes	4	1	+
M	59	Village	0.12240393027201513	33.484864818961476	-4.625768530815254	No	Yes	NA	Yes	2	1	+
m	62	Village	0.4469476489604909	19.99284404929108	31.756151551415922	No	No	NA	Yes	3	1	+-
F	65	Сity	0.13768667409931024	86.61959088030444	8.053134461140559	No	No	NA	Yes	3	1	+-
M	70	Metropolis	0.47955762450569184	28.61903088885047	20.622437712499313	Secondary	Yes	NA	Yes	4	1	-
F	64	Metropolis	0.7832320284841715	14.38716137658326	32.91026063624484	Secondary	No	NA	Yes	1	1	+
F	51	Сity	0.12503931558746728	27.55126798378128	9.54885609031159	Higher	Yes	NA	Yes	4	1	+-
M	27	Village	0.04666544680678841	56.61533751248011	32.92157133151849	secondary	Yes	NA	Yes	0	1	+-
M	58	Village	0.5029260767337926	80.8572981233661	9.822678519030845	Higher	Yes	NA	Yes	4	1	+-
F	70	Metropolis	0.7720094327026521	85.28471466397941	19.190435578606948	Higher	No	NA	Yes	4	1	+
M	21	Village	0.06885592948492125	81.94990195552755	17.86432296618854	No	Yes	NA	Yes	1	1	+
F	35	Metropolis	0.030502074718392835	78.71111790703429	7.190151289209014	No	Yes	NA	Yes	2	1	-
M	39	Metropolis	0.7331678053465157	80.42157679039111	29.255074479201	Secondary	No	NA	Yes	1	1	-
M	38	Village	0.09305574646699677	82.43113607147504	26.490771663032007	No	Yes	NA	Yes	0	1	-
M	42	Metropolis	0.48826630592147224	56.81286412834682	14.593132696767961	No	Yes	NA	Yes	3	1	+
M	65	Village	0.35343582896434567	91.35578824847282	16.288424444356302	No	No	NA	Yes	0	1	-
F	21	Сity	0.6810821263895075	23.125431223072173	15.885895108082574	Higher	No	NA	Yes	0	1	+-
F	48	Metropolis	0.6361813152971487	62.99122837664325	26.337746925056642	Higher	No	NA	Yes	3	1	+
F	41	Сity	0.5241578536362422	95.95325038480627	16.117970316153002	Higher	No	NA	Yes	2	1	+-
F	32	Village	0.027473364921835386	53.229654292328796	29.028527420149253	Secondary	Yes	NA	Yes	3	1	+
F	61	Metropolis	0.35428263282790873	62.75819134274954	23.44269138639278	Secondary	Yes	NA	Yes	3	1	+
M	35	Сity	0.24354087634068966	85.00116012455237	10.391719976298624	Higher	Yes	NA	Yes	1	1	-
M	38	Village	0.3714048967697301	96.91310667977454	31.44561751058318	Higher	No	NA	Yes	5	1	-
F	58	Metropolis	0.8549569119057223	94.65369022474431	2.9545694936497284	Higher	No	NA	Yes	4	1	+-
M	64	Metropolis	0.68188704953707	11.592777761834505	-0.17488802746372656	Higher	Yes	NA	Yes	3	1	+-
M	45	Village	0.9966472053429508	28.580704367279782	25.33539855486567	Secondary	No	NA	Yes	3	1	+-
F	60	Сity	0.16111360868723168	18.257720003151604	26.38641727309582	Secondary	Yes	NA	Yes	0	1	-
m	23	Metropolis	0.4375025947909307	17.881024158005946	20.607959574893123	Higher	Yes	NA	Yes	2	1	+
M	42	Metropolis	0.5979862833661077	23.724263858968627	14.101655151916393	Higher	Yes	NA	Yes	5	1	+-
M	30	Сity	0.5033772039853488	53.48977130889442	16.007660344878264	Higher	No	NA	Yes	4	1	-
F	46	Metropolis	0.7594585080472341	71.70928983861947	11.964268078780568	Secondary	No	NA	Yes	5	1	+
F	51	Сity	0.12503931558746728	27.55126798378128	9.54885609031159	Higher	Yes	NA	Yes	4	1	+
M	65	Village	0.5002606521254015	69.42046716214497	29.777134032369837	higher	Yes	NA	Yes	5	1	+
F	64	Metropolis	0.27792593105077257	36.903992074019115	30.338249130772073	No	No	NA	Yes	1	1	+-
F	45	Village	0.8725016029291022	89.1680382149235	22.95173461120476	Secondary	Yes	NA	Yes	2	1	+
F	48	Village	0.18052737291451504	21.439474667381567	27.618946181462498	No	No	NA	Yes	4	1	-
F	50	Village	0.9432615204653615	92.07400579842769	21.970203797626883	Secondary	Yes	NA	Yes	3	1	+
M	58	Сity	0.18688069306284483	31.921114687996294	11.429236383736502	No	Yes	NA	Yes	4	1	-
M	58	Сity	0.18688069306284483	31.921114687996294	11.429236383736502	No	Yes	NA	Yes	4	1	+
M	50	Village	0.22801187778837495	20.375655594744725	4.123387161304164	No	Yes	NA	Yes	5	1	+
M	70	Metropolis	0.589083928356601	35.09300253822214	15.181491799379188	No	Yes	NA	Yes	5	1	+-
M	60	Metropolis	0.5736675153396851	24.91564442535138	17.081171751149476	Secondary	No	NA	Yes	4	1	+-
F	24	Village	0.10349280429911989	16.859616329332958	6.876205550218565	Secondary	No	NA	Yes	2	1	+
F	68	Сity	0.5728354263130466	71.32660762604425	18.67907701703691	Higher	No	NA	Yes	0	1	+-
M	35	Village	0.7102602279531913	91.57861504082952	40.19733550015421	No	No	NA	Yes	1	1	+-
F	40	Сity	0.5084504416471669	69.8335445423313	11.50161442226324	Secondary	Yes	NA	Yes	5	1	+
F	44	Metropolis	0.7277145676478766	62.8550446673458	32.10287593111206	Higher	No	NA	Yes	5	1	+-
F	49	Metropolis	0.7951497340699872	10.899326389496434	7.406811132236616	No	Yes	NA	Yes	5	1	-
F	64	Metropolis	0.6354548221203968	13.036136025403906	23.676853306158375	Secondary	Yes	NA	Yes	4	1	-
F	26	Metropolis	0.5892368751239846	73.79255838962108	38.2834418567064	Higher	Yes	NA	Yes	1	1	+
M	53	Metropolis	0.7035655331860439	18.71845850846937	31.49035487005357	Higher	No	NA	Yes	2	1	-
M	36	Metropolis	0.13239819004176412	51.127411162433326	28.360042826205465	Secondary	Yes	NA	Yes	2	1	+-
M	45	Metropolis	0.901794358948235	18.034304622510682	34.65221329538572	Secondary	No	NA	Yes	4	1	+-
F	34	Village	0.20362382295121062	86.36389906500325	5.098476416889836	Higher	No	NA	Yes	0	1	+-
M	69	Village	0.8625816402308578	99.16431941756147	4.7126968991586935	Higher	No	NA	Yes	5	1	-
M	27	Metropolis	0.08331264988134046	78.8591819513833	42.218969602333544	Higher	No	NA	Yes	2	1	+
F	39	Сity	0.056433553423476335	97.41190037213129	29.58950312330145	Secondary	No	NA	Yes	5	1	+
M	47	Сity	0.7620627949363791	63.491277442437124	19.0249750250382	Secondary	Yes	NA	Yes	5	1	+
F	63	Сity	0.871375691598699	17.761411836010417	7.8462084506863405	Higher	No	NA	Yes	0	1	+-
F	29	Metropolis	0.6832200670348494	24.958347474290722	12.141663376806433	Secondary	No	NA	Yes	3	1	+
F	43	Сity	0.8489852075028349	98.9879694599501	11.940992381836079	Secondary	No	NA	Yes	2	1	+-
F	30	Сity	0.9407282973835736	31.136989813608693	10.446182888664012	Higher	No	NA	Yes	0	1	+
F	22	Metropolis	0.054282918835263816	30.946457379546157	33.29089540730102	No	No	NA	Yes	4	1	+-
M	53	metropolis	0.6377158768436277	75.30985650466891	16.076715019282663	No	Yes	NA	Yes	0	1	-
F	53	Metropolis	0.7535010741624066	88.24849976140526	24.246019880072698	Secondary	Yes	NA	Yes	1	1	+-
F	43	Сity	0.10683671015107332	51.79273446284206	18.041880584650208	No	No	NA	Yes	3	1	+
F	43	Village	0.243638010292069	85.07028568598994	9.584851231037197	No	Yes	NA	Yes	5	1	+
F	36	Metropolis	0.9183796759088567	62.433020130578086	28.97557498622554	No	No	NA	Yes	3	1	+-
F	36	Metropolis	0.9183796759088567	62.433020130578086	28.97557498622554	No	No	NA	Yes	3	1	+
F	62	Сity	0.6033466982573426	25.86018484836373	17.031513959669642	No	No	NA	Yes	3	1	-
M	46	Сity	0.10991472821795467	87.96003856199776	2.8514745775207153	Secondary	No	NA	Yes	2	1	-
M	61	Сity	0.5107522579030443	97.30944429300031	10.755064223237456	No	No	NA	Yes	3	1	+
M	39	Сity	0.07701284425519062	26.531658125710933	26.052876206901246	Secondary	Yes	NA	Yes	4	1	+-
M	34	Metropolis	0.6663056051159632	92.34385067660008	20.08817379035898	Higher	No	NA	Yes	0	1	+
F	55	Metropolis	0.20280084991671754	64.53757681386269	30.630345946980142	No	Yes	NA	Yes	1	1	-
F	25	Сity	0.6118282977906204	31.634747116003606	5.429122409249294	No	Yes	NA	Yes	5	1	-
m	65	Village	0.9291315480115788	85.46131928281459	30.310868442178386	Secondary	No	NA	Yes	1	1	+-
M	NA	city	0.33229971569945327	92.79149781176558	29.261758644354536	Secondary	Yes	NA	Yes	1	1	+-
F	49	Metropolis	0.6286897051544288	31.802992452004613	-2.4698185485791413	No	No	NA	Yes	2	1	-
F	59	Village	0.926143007483452	30.43485659763568	20.805786137818608	Secondary	Yes	NA	Yes	3	1	-
M	51	Village	0.7707707355692214	49.78947416030114	28.294661374764793	Secondary	No	NA	Yes	2	1	+
F	44	village	0.0025112348853838506	30.76874301116182	16.977693006848995	Secondary	Yes	NA	Yes	2	1	+-
m	31	village	0.33519707364951123	51.301237751226175	10.86806921352229	Higher	No	NA	Yes	0	1	-
M	63	Village	0.7781798570747294	39.36113366941849	31.911164236495907	No	Yes	NA	Yes	0	1	+
F	21	Сity	0.7595420705202443	83.12896617597626	20.04449640367759	No	No	NA	Yes	5	1	-
f	63	Сity	0.7398453521682783	31.795625397212874	20.252192307581176	No	No	NA	Yes	0	1	-
M	53	city	0.3568166458734163	41.01541063726606	5.399423803163932	No	No	NA	Yes	5	1	-
P	67	Village	0.5868421638156747	95.87038688010914	32.45098802010016	Secondary	Yes	NA	Yes	2	1	+
M	63	metropolis	0.4899810678376436	56.909474420233046	17.289042005144672	No	No	NA	Yes	5	1	+-
F	51	Сity	0.9762653255468013	45.468350134213296	26.09720798914735	No	Yes	NA	Yes	5	1	+
M	65	metropolis	NA	NA	17.289042005144672	NA	NA	NA	NA	5	1	+-
